55,116,1013
56,121,1008
61,123,1008
64,122,1011
73,125,1008
68,122,1008
61,120,1005
68,123,1008
71,122,1013
78,126,1005
77,135,1004
71,131,1011
76,133,1008
86,133,1009
132,129,986
151,122,995
154,104,1000
225,96,989
263,-26,986
191,-144,1012
141,-242,988
122,-426,947
118,-548,882
85,-703,744
114,-827,651
69,-979,359
17,-1008,119
2,-988,-53
53,-1022,-306
40,-784,-709
77,-664,-871
48,-518,-920
64,-445,-923
92,-406,-908
79,-349,-945
91,-247,-980
85,-220,-967
54,-141,-1078
15,-84,-1030
-17,-113,-1003
131,29,-1031
148,6,-1010
145,-4,-1021
116,2,-1014
111,-11,-1020
156,-26,-1003
149,-15,-1021
159,-28,-1011
156,-20,-1007
164,-14,-1010
153,-19,-1008
163,-13,-1011
173,-9,-1012
171,-8,-1006
160,-11,-1011
185,-13,-1007
167,6,-1005
172,44,-1045
253,45,-955
269,155,-971
282,288,-927
296,369,-907
278,446,-847
306,619,-783
336,686,-638
331,882,-428
318,958,-205
314,982,-116
250,972,121
224,968,235
201,974,331
169,922,437
142,869,515
99,763,696
52,625,813
4,410,947
-25,253,986
-65,156,1019
-96,50,994
-92,51,1019
-104,-41,1026
-112,38,1018
-175,77,1042
-49,68,1028
15,9,1023
-162,6,1028
-127,11,1039
-122,53,1013
-70,48,951
-82,60,1022
-43,74,1032
-31,72,1019
-49,79,1015
-40,85,1027
-38,71,1029
-38,79,1014
-15,82,1013
-18,75,1027
-10,83,1022
1,67,1020
-3,75,1021
2,79,1014
4,83,1017
-3,86,1016
5,84,1023
11,86,1016
2,82,1015
-3,93,1020
-9,90,1022
7,86,1016
