128,42,1013
143,24,1007
130,30,1015
143,25,1008
139,25,1010
137,26,1010
146,22,1001
135,25,1010
141,26,1010
145,22,1005
140,25,1005
139,27,1007
147,24,1004
151,22,1004
148,22,1003
148,23,1000
149,21,1001
135,26,1008
132,27,1012
125,28,1008
125,20,1005
105,27,1013
94,20,1013
69,27,1019
43,24,1015
27,20,1021
18,24,1026
9,13,1021
-27,35,1021
-47,45,1019
-112,52,1017
-133,44,1015
-136,45,1014
-165,55,1018
-227,59,1007
-281,69,989
-345,81,966
-372,86,963
-384,82,959
-418,81,945
-417,70,962
-426,64,947
-475,62,917
-631,61,836
-673,34,792
-759,71,721
-847,55,573
-871,60,573
-907,59,511
-941,59,479
-983,16,347
-978,6,309
-993,-14,294
-1014,-35,238
-1037,-41,172
-1032,-59,77
-1019,-45,-6
-1033,-50,-114
-1008,-49,-164
-989,-19,-276
-901,-26,-490
-808,-34,-596
-681,10,-744
-521,38,-865
-460,71,-924
-388,82,-953
-393,73,-943
-408,69,-916
-371,79,-937
-283,130,-971
-211,154,-1015
-203,166,-980
-154,160,-992
-152,179,-1001
-181,144,-1003
-217,51,-996
-114,64,-1016
-28,136,-1027
-43,68,-1021
-52,49,-1025
-50,32,-1007
-49,32,-1019
-49,10,-1024
-51,22,-1023
-48,24,-1021
-39,14,-1020
-46,18,-1016
-27,31,-1024
-16,17,-1022
-5,11,-1024
44,18,-1022
144,10,-1007
211,-9,-1017
297,-9,-979
369,-39,-968
441,-65,-922
529,-101,-853
648,-162,-772
681,-193,-732
744,-227,-661
765,-233,-618
825,-241,-553
937,-275,-483
868,-253,-431
935,-248,-343
924,-261,-263
931,-239,-172
979,-317,-50
933,-274,98
914,-282,268
859,-256,397
755,-237,587
681,-222,665
566,-201,775
425,-130,893
317,-67,963
213,-11,973
164,10,976
86,20,991
44,45,1021
15,71,1025
33,76,1008
29,70,1014
35,91,1010
22,84,1017
18,71,1010
-2,65,1032
18,75,1014
13,73,1016
9,72,1013
10,73,1010
11,68,1016
15,70,1014
12,70,1012
3,71,1020
18,71,1007
