84,64,1010
83,64,1009
89,65,1005
88,68,1009
93,69,1009
96,73,1006
105,78,1006
135,66,1010
107,54,1015
108,40,1001
92,43,1004
75,61,1009
83,69,1014
66,63,1016
63,70,1012
53,75,1010
76,61,1015
135,19,990
112,55,1023
136,37,997
157,88,1016
246,19,979
196,1,1003
213,2,1034
171,-135,983
81,-140,1005
125,-156,1011
52,-192,962
59,-288,958
42,-245,986
-41,-186,1005
-32,-155,971
7,-226,1025
-28,-231,977
-81,-183,989
164,-441,863
181,-343,958
90,-284,925
-62,-175,964
-38,-185,1032
-23,-187,1000
-31,-175,1011
-17,-155,990
-19,-136,1012
-12,-143,1011
-4,-109,997
-13,-2,983
4,54,1014
-39,14,1001
-23,-38,1007
-64,-58,1018
14,-65,1001
22,-98,1016
-10,-133,1012
7,-140,1020
-22,-140,1008
-60,-170,1010
-83,-177,1016
-105,-141,998
-74,-149,1004
-111,-151,1014
-151,-173,974
-271,-88,1019
-151,-67,1026
-214,-15,976
-218,-10,999
-256,54,968
-221,88,1022
-183,114,1012
-143,148,993
-96,216,957
-74,166,1026
-46,189,1000
-53,179,1054
-77,208,1014
-1,201,1027
29,204,1004
28,204,983
51,137,997
65,201,1019
-29,157,1031
12,92,1051
58,76,1072
106,39,1066
58,3,1024
61,9,1023
74,10,1029
96,11,1003
82,27,1033
91,18,1006
71,32,1025
80,17,1027
89,8,994
79,12,1006
80,6,1005
59,12,1019
86,-2,1000
60,9,1025
